conference,award_year,work_id,work_title,author_id,author_name,author_position,cited_by_count
AAAI,2012,W2188242881,eBird: A Human/Computer Learning Network for Biodiversity Conservation and Research,A5069030030,Carla P. Gomes,last,36
AAAI,2012,W2196044523,Intelligent Computation of Reachability Sets for Space Missions,A5091048049,Erik Komendera,first,12
AAAI,2012,W2196044523,Intelligent Computation of Reachability Sets for Space Missions,A5021928700,Daniel J. Scheeres,middle,12
AAAI,2012,W2196044523,Intelligent Computation of Reachability Sets for Space Missions,A5062700710,Elizabeth Bradley,last,12
AAAI,2013,W825979034,Compact RGBD Surface Models Based on Sparse Coding,A5076560318,Michael Ruhnke,first,11
AAAI,2013,W825979034,Compact RGBD Surface Models Based on Sparse Coding,A5085032007,Liefeng Bo,middle,11
AAAI,2013,W825979034,Compact RGBD Surface Models Based on Sparse Coding,A5108257764,Dieter Fox,middle,11
AAAI,2013,W825979034,Compact RGBD Surface Models Based on Sparse Coding,A5084499878,Wolfram Burgard,last,11
AAAI,2013,W1929309940,Data-Efficient Generalization of Robot Skills with Contextual Policy Search,A5014691067,Andras Kupcsik,first,91
AAAI,2013,W1929309940,Data-Efficient Generalization of Robot Skills with Contextual Policy Search,A5001763022,Marc Peter Deisenroth,middle,91
AAAI,2013,W1929309940,Data-Efficient Generalization of Robot Skills with Contextual Policy Search,A5071367253,Jan Peters,middle,91
AAAI,2013,W1929309940,Data-Efficient Generalization of Robot Skills with Contextual Policy Search,A5110467801,Gerhard Neumann,last,91
AAAI,2013,W2189416168,A Fast Pairwise Heuristic for Planning under Uncertainty,A5079440863,Koosha Khalvati,first,6
AAAI,2013,W2189416168,A Fast Pairwise Heuristic for Planning under Uncertainty,A5079331774,Alan K. Mackworth,last,6
AAAI,2016,W2809588176,Advancement of LC-MS Based Proteomic and Metabolomic Techniques,A5100693968,Zhendong Li,first,0
AAAI,2016,W2802643788,A knowledge translation approach to improve outcomes after asthma exacerbations,A5070876308,Myriam Ines Cristina Villa-Roel,first,0
AAAI,2016,W2805963976,An Assessment of the Impacts of Climate Change on Freight Delivery Schedule Strategies on the Mackenzie River,A5058173304,Yunzhuang Zheng,first,0
AAAI,2018,W2788115796,Algorithms for Generalized Topic Modeling,A5024803432,Avrim Blum,first,0
AAAI,2018,W2788115796,Algorithms for Generalized Topic Modeling,A5080772091,Nika Haghtalab,last,0
AAAI,2018,W2788650114,An Adversarial Hierarchical Hidden Markov Model for Human Pose Modeling and Generation,A5101987526,Rui Zhao,first,16
AAAI,2018,W2788650114,An Adversarial Hierarchical Hidden Markov Model for Human Pose Modeling and Generation,A5076346273,Qiang Ji,last,16
AAAI,2018,W2805487959,AdGAP: Advanced Global Average Pooling,A5021598695,Arna Ghosh,first,11
AAAI,2018,W2805487959,AdGAP: Advanced Global Average Pooling,A5062662918,Biswarup Bhattacharya,middle,11
AAAI,2018,W2805487959,AdGAP: Advanced Global Average Pooling,A5017183605,Somnath Basu Roy Chowdhury,last,11
ACL,2004,W2141386347,SAFEGUARDING CHILDREN: A SCOPING STUDY OF RESEARCH IN THREE AREAS,A5004535565,Harriet Ward,first,14
ACL,2004,W2141386347,SAFEGUARDING CHILDREN: A SCOPING STUDY OF RESEARCH IN THREE AREAS,A5015166762,Lisa Holmes,middle,14
ACL,2004,W2141386347,SAFEGUARDING CHILDREN: A SCOPING STUDY OF RESEARCH IN THREE AREAS,A5050734736,Sue Moyers,middle,14
ACL,2004,W2141386347,SAFEGUARDING CHILDREN: A SCOPING STUDY OF RESEARCH IN THREE AREAS,A5045226987,Emily R. Munro,middle,14
ACL,2004,W2141386347,SAFEGUARDING CHILDREN: A SCOPING STUDY OF RESEARCH IN THREE AREAS,A5037070020,Konstantina Poursanidou,last,14
ACL,2004,W3099951324,Non-Perturbative Vacua for M-Theory on G(2) Manifolds,A5005263992,B. de Carlos,first,21
ACL,2004,W3099951324,Non-Perturbative Vacua for M-Theory on G(2) Manifolds,A5001303489,André Lukas,last,21
ACL,2004,W2949254450,Wavelets and WMAP non-Gaussianity,A5113489017,Pia Mukherjee,first,77
ACL,2007,W2153862129,Poster paper: HunPos -- an open source trigram tagger,A5045106271,Péter Halácsy,first,15
ACL,2007,W2153862129,Poster paper: HunPos -- an open source trigram tagger,A5065413313,András Kornai,middle,15
ACL,2007,W2153862129,Poster paper: HunPos -- an open source trigram tagger,A5021513876,Csaba Oravecz,last,15
ACL,2007,W2148963146,Beyond Projectivity: Multilingual Evaluation of Constraints and Measures on Non-Projective Structures,A5080418218,Jiří Havelka,first,6
ACL,2007,W2147706904,Unsupervised Coreference Resolution in a Nonparametric Bayesian Model,A5039365507,Aria Haghighi,first,134
ACL,2007,W2147706904,Unsupervised Coreference Resolution in a Nonparametric Bayesian Model,A5004921249,Dan Klein,last,134
ACL,2011,W1944874745,A Bayesian Belief Updating Model of Phonetic Recalibration and Selective Adaptation,A5055470679,Dave Kleinschmidt,first,38
ACL,2011,W1944874745,A Bayesian Belief Updating Model of Phonetic Recalibration and Selective Adaptation,A5021709117,T. Florian Jaeger,last,38
ACL,2011,W1625227466,Corporate News Classification and Valence Prediction: A Supervised Approach,A5026363213,Syed Aqueel Haider,first,14
ACL,2011,W1625227466,Corporate News Classification and Valence Prediction: A Supervised Approach,A5018503243,Rishabh Mehrotra,last,14
ACL,2011,W2786884382,Proceedings of the 2nd Workshop on Computational Approaches to Subjectivity and Sentiment Analysis (WASSA 2.011).,A5041159779,Alexandra Balahur,first,39
ACL,2011,W2786884382,Proceedings of the 2nd Workshop on Computational Approaches to Subjectivity and Sentiment Analysis (WASSA 2.011).,A5056133675,Estér Boldrini,middle,39
ACL,2011,W2786884382,Proceedings of the 2nd Workshop on Computational Approaches to Subjectivity and Sentiment Analysis (WASSA 2.011).,A5008609009,Andrés Montoyo,middle,39
ACL,2011,W2786884382,Proceedings of the 2nd Workshop on Computational Approaches to Subjectivity and Sentiment Analysis (WASSA 2.011).,A5029065205,Patricio Martínez-Barco,last,39
ACL,2013,W2134583295,Is word-to-phone mapping better than phone-phone mapping for handling English words?,A5028361657,Naresh Elluru,first,5
ACL,2013,W2134583295,Is word-to-phone mapping better than phone-phone mapping for handling English words?,A5058318839,Anandaswarup Vadapalli,middle,5
ACL,2013,W2134583295,Is word-to-phone mapping better than phone-phone mapping for handling English words?,A5066751813,Raghavendra Elluru,middle,5
ACL,2013,W2134583295,Is word-to-phone mapping better than phone-phone mapping for handling English words?,A5032418366,Hema A. Murthy,middle,5
ACL,2013,W2134583295,Is word-to-phone mapping better than phone-phone mapping for handling English words?,A5113522207,Kishore Prahallad,last,5
ACL,2013,W2250388633,Frequently Asked Questions Retrieval for Croatian Based on Semantic Textual Similarity,A5043724603,Mladen Karan,first,8
ACL,2013,W2250388633,Frequently Asked Questions Retrieval for Croatian Based on Semantic Textual Similarity,A5039348733,Lovro Żmak,middle,8
ACL,2013,W2250388633,Frequently Asked Questions Retrieval for Croatian Based on Semantic Textual Similarity,A5067851924,Jan Šnajder,last,8
ACL,2013,W2252093051,Categorization of Turkish News Documents with Morphological Analysis,A5041745218,Burak Kerim AkkuÅŸ,first,10
ACL,2013,W2252093051,Categorization of Turkish News Documents with Morphological Analysis,A5006228258,Ruket Çakıcı,last,10
ACL,2017,W2747466905,$\ell_1$ Regression using Lewis Weights Preconditioning.,A5029767449,David Durfee,first,0
ACL,2017,W2747466905,$\ell_1$ Regression using Lewis Weights Preconditioning.,A5006665729,Kevin A. Lai,middle,0
ACL,2017,W2747466905,$\ell_1$ Regression using Lewis Weights Preconditioning.,A5074374806,Saurabh Sawlani,last,0
ACL,2017,W2731607586,A central limit theorem for the annealed path measures for the stochastic heat equation and the continuous directed polymer in $d\geq 3$,A5071656172,Chiranjib Mukherjee,first,1
ACL,2017,W2763865602,$RO(G)$-graded homotopy Mackey functor of $H\underline{\mathbb{Z}}$ for $C_{p^2}$ and homological algebra of $\underline{\mathbb{Z}}$-modules,A5057978770,Mingcong Zeng,first,0
ACL,2018,W2798727036,,A5004722373,Dominic Verdon,first,3
ACL,2018,W2798727036,,A5017943933,Jamie Vicary,last,3
ACL,2018,W2963956412,,A5090720658,Tadahiro Oh,first,22
ACL,2018,W2963956412,,A5101772310,Yoshio Tsutsumi,middle,22
ACL,2018,W2963956412,,A5026596029,Nikolay Tzvetkov,last,22
ACL,2018,W2891212056,$d$-wave and $s^\pm$ Pairing Strengths in Ba$_2$CuO$_{3+\delta}$,A5066143236,Thomas Maier,first,13
ACL,2018,W2891212056,$d$-wave and $s^\pm$ Pairing Strengths in Ba$_2$CuO$_{3+\delta}$,A5009422155,Tom Berlijn,middle,13
ACL,2018,W2891212056,$d$-wave and $s^\pm$ Pairing Strengths in Ba$_2$CuO$_{3+\delta}$,A5108240929,D. J. Scalapino,last,13
CHI,2007,W2160729459,A Simple Method for Locating the Fresh Water–Salt Water Interface Using Pressure Data,A5000968210,Kue‐Young Kim,first,51
CHI,2007,W2160729459,A Simple Method for Locating the Fresh Water–Salt Water Interface Using Pressure Data,A5076625502,Chul‐Min Chon,middle,51
CHI,2007,W2160729459,A Simple Method for Locating the Fresh Water–Salt Water Interface Using Pressure Data,A5011560405,Ki‐Hwa Park,last,51
CHI,2007,W2112315834,Characterizing Hydraulic Conductivity with the Direct‐Push Permeameter,A5040237188,James J. Butler,first,102
CHI,2007,W2112315834,Characterizing Hydraulic Conductivity with the Direct‐Push Permeameter,A5025048409,Peter Dietrich,middle,102
CHI,2007,W2112315834,Characterizing Hydraulic Conductivity with the Direct‐Push Permeameter,A5041782809,Volker Wittig,middle,102
CHI,2007,W2112315834,Characterizing Hydraulic Conductivity with the Direct‐Push Permeameter,A5061959272,Tom Christy,last,102
CHI,2007,W2369719201,Characteristics of Isotope Composition and Hydrogeological Meanings in Water Environment in the Drainage Area of Santun River,A5100323476,Hui Zhang,first,0
CHI,2008,W2033639945,Socio-economic Factors and Residents' Health in Nigeria Urban Centres,A5011385367,PO Olawuni,first,1
CHI,2008,W2044807525,Effect of Prior Knowledge of Instructional Objectives on Students\' Achievement in Selected Difficult Concepts in Nigerian Senior Secondary School Physics.,A5068526986,N I Nkwo,first,8
CHI,2008,W2044807525,Effect of Prior Knowledge of Instructional Objectives on Students\' Achievement in Selected Difficult Concepts in Nigerian Senior Secondary School Physics.,A5022407371,Akinyemi Olufunminiyi Akinbobola,middle,8
CHI,2008,W2044807525,Effect of Prior Knowledge of Instructional Objectives on Students\' Achievement in Selected Difficult Concepts in Nigerian Senior Secondary School Physics.,A5017920742,G A Ikitde,last,8
CHI,2008,W1994725676,Alternative Dispute Resolution in Ethiopia- A Legal Framework,A5001203216,S M Gowak,first,23
CHI,2009,W1494189730,Assessing the Quality of Doctoral Dissertation Literature Reviews in Instructional Technology,A5016327228,M. Harrison Fitt,first,10
CHI,2009,W1494189730,Assessing the Quality of Doctoral Dissertation Literature Reviews in Instructional Technology,A5089989028,Andrew Walker,middle,10
CHI,2009,W1494189730,Assessing the Quality of Doctoral Dissertation Literature Reviews in Instructional Technology,A5042446306,Heather Leary,last,10
CHI,2009,W1516582927,An Integrated Study Investigating Masticated Fuel Treatments in the Rocky Mountains,A5017691528,Robert E. Keane,first,0
CHI,2009,W1516582927,An Integrated Study Investigating Masticated Fuel Treatments in the Rocky Mountains,A5030827413,Helen Y. Smith,last,0
CHI,2009,W2601579805,Annual USEE Program Advisory Council Results,A5051694539,Mark Larese-Casanova,first,0
CHI,2011,W2614954082,""" Demandes décalées "" et "" patients-déchets "" aux urgences de l'hôpital, quelle articulation entre la clinique et le politique ?",A5077602461,Jérôme Thomas,first,1
CHI,2011,W2776108942,""" La Dorotea de Lope de Vega : au royaume de l'implicitation, le proverbe est roi... """,A5051385269,Sonia Fournet-Pérot,first,0
CHI,2011,W2252512144,""" Chrétiens d'Iran entre hagiographie et histoire. Avec une nouvelle proposition sur la croix de Hérat """,A5111407149,Christelle Jullien,first,0
CHI,2012,W2774682290,Antiquity and the Meanings of Time: A Philosophy of Literature and Interpretation,A5065049106,DF Kennedy,first,0
CHI,2013,W2903627325,"""Comment écrire une histoire mondiale de la littérature ?"", note critique à propos de Jérôme David, Spectres de Goethe. Les Métamorphoses de la ""littérature mondiale"", Les Prairies ordinaires, 2012",A5006208569,Sarah Al-Matary,first,6
CHI,2013,W2903627325,"""Comment écrire une histoire mondiale de la littérature ?"", note critique à propos de Jérôme David, Spectres de Goethe. Les Métamorphoses de la ""littérature mondiale"", Les Prairies ordinaires, 2012",A5081800415,Blaise Wilfert-Portal,last,6
CHI,2013,W2612271397,""" Philosophie populaire et philosophie popularisée : les critiques à l'encontre de l'opinion publique à la fin du XVIIIème siècle chez Garve, Fichte et Kant """,A5047278112,Ayşe Yuva,first,0
CHI,2013,W4299401442,"""Bidirectional Millimeter Wave Radio-over-Fiber System Based on Photodiode Mixing and Optical Heterodyning""",A5010950085,Flora Paresys,first,0
CHI,2013,W4299401442,"""Bidirectional Millimeter Wave Radio-over-Fiber System Based on Photodiode Mixing and Optical Heterodyning""",A5063144492,Tong Shao,middle,0
CHI,2013,W4299401442,"""Bidirectional Millimeter Wave Radio-over-Fiber System Based on Photodiode Mixing and Optical Heterodyning""",A5065676720,G. Maury,middle,0
CHI,2013,W4299401442,"""Bidirectional Millimeter Wave Radio-over-Fiber System Based on Photodiode Mixing and Optical Heterodyning""",A5050303059,Yannis Le Guennec,middle,0
CHI,2014,W2597897257,"A ""New Silk Road"" Between China and the Arab World: A Problem for the US or the EU?",A5067247364,Wolfgang Zank,first,0
CHI,2014,W1788156968,Af-individualiseringens politik,A5029946732,Mathias Herup Nielsen,first,0
CHI,2014,W2576997882,"""Nu må de da kende mig!"" - Patienters oplevelse af og forventning til genindlæggelse med recidiverende atrieflimren",A5079560717,Astrid Lauberg,first,0
CHI,2014,W2576997882,"""Nu må de da kende mig!"" - Patienters oplevelse af og forventning til genindlæggelse med recidiverende atrieflimren",A5001530127,Vibeke Høgh,middle,0
CHI,2014,W2576997882,"""Nu må de da kende mig!"" - Patienters oplevelse af og forventning til genindlæggelse med recidiverende atrieflimren",A5110468289,Tina Kræmer Højbjerg,middle,0
CHI,2014,W2576997882,"""Nu må de da kende mig!"" - Patienters oplevelse af og forventning til genindlæggelse med recidiverende atrieflimren",A5061043691,Minna Holm Hansen,middle,0
CHI,2014,W2576997882,"""Nu må de da kende mig!"" - Patienters oplevelse af og forventning til genindlæggelse med recidiverende atrieflimren",A5031583884,Birgitte Schantz Laursen,last,0
CHI,2015,W1827391773,A description of LATTE outputs,A5102149725,Tiago Alexandre Diogo Marques,first,0
CHI,2015,W1827391773,A description of LATTE outputs,A5053540460,Len Thomas,last,0
CHI,2015,W2206979771,Studies for carrying out the common fisheries policy : adverse fisheries impacts on cetacean populations in the Black Sea. Final report to the European Commission,A5085261097,Alexei Birkun,first,11
CHI,2015,W2206979771,Studies for carrying out the common fisheries policy : adverse fisheries impacts on cetacean populations in the Black Sea. Final report to the European Commission,A5048029439,Simon Northridge,middle,11
CHI,2015,W2206979771,Studies for carrying out the common fisheries policy : adverse fisheries impacts on cetacean populations in the Black Sea. Final report to the European Commission,A5008660668,Ed Willsteed,middle,11
CHI,2015,W2206979771,Studies for carrying out the common fisheries policy : adverse fisheries impacts on cetacean populations in the Black Sea. Final report to the European Commission,A5103459918,Frances C. James,middle,11
CHI,2015,W2206979771,Studies for carrying out the common fisheries policy : adverse fisheries impacts on cetacean populations in the Black Sea. Final report to the European Commission,A5063752829,Charles Kilgour,middle,11
CHI,2015,W2206979771,Studies for carrying out the common fisheries policy : adverse fisheries impacts on cetacean populations in the Black Sea. Final report to the European Commission,A5009899168,Martin Lander,middle,11
CHI,2015,W2206979771,Studies for carrying out the common fisheries policy : adverse fisheries impacts on cetacean populations in the Black Sea. Final report to the European Commission,A5038742073,Gavin Fitzgerald,last,11
CHI,2015,W2301330719,Data Underpinning - Enhanced optical manipulation of cells using anti-reflection coated microparticles,A5056418282,Derek Craig,first,1
CHI,2015,W2301330719,Data Underpinning - Enhanced optical manipulation of cells using anti-reflection coated microparticles,A5051464097,Alison McDonald,middle,1
CHI,2015,W2301330719,Data Underpinning - Enhanced optical manipulation of cells using anti-reflection coated microparticles,A5048100077,Michaël Mazilu,middle,1
CHI,2015,W2301330719,Data Underpinning - Enhanced optical manipulation of cells using anti-reflection coated microparticles,A5018263124,Helen A. Rendall,middle,1
CHI,2015,W2301330719,Data Underpinning - Enhanced optical manipulation of cells using anti-reflection coated microparticles,A5037000199,Frank J. Gunn‐Moore,middle,1
CHI,2015,W2301330719,Data Underpinning - Enhanced optical manipulation of cells using anti-reflection coated microparticles,A5027381937,Kishan Dholakia,last,1
CHI,2016,W2604663728,Paganism and the world forum of religions,A5109961614,Michael York,first,0
CHI,2016,W2510306793,Early western lay Buddhists in colonial Asia: John Bowles Daly and the Buddhist Theosophical Society of Ceylon,A5090745043,Laurence Cox,first,2
CHI,2016,W2510306793,Early western lay Buddhists in colonial Asia: John Bowles Daly and the Buddhist Theosophical Society of Ceylon,A5063732029,Mihirini Sirisena,last,2
CHI,2016,W2997894017,An innovative hull design for an offshore wind farm support vessel,A5024403468,Matthew Shanley,first,0
CHI,2016,W2997894017,An innovative hull design for an offshore wind farm support vessel,A5022376891,Sebastian Balke,middle,0
CHI,2016,W2997894017,An innovative hull design for an offshore wind farm support vessel,A5073308016,Jimmy Murphy,last,0
CHI,2017,W2768014771,$\Sigma_{b}\to\Sigma_c^*$ weak decays in the light-front quark model,A5102897959,Hong-Wei Ke,first,0
CHI,2017,W2768014771,$\Sigma_{b}\to\Sigma_c^*$ weak decays in the light-front quark model,A5053580135,Xue–Qian Li,last,0
CHI,2017,W2965886910,,A5053324467,Andrea Collevecchio,first,9
CHI,2017,W2965886910,,A5008560363,Daniel Kious,middle,9
CHI,2017,W2965886910,,A5108250160,Vladas Sidoravičius,last,9
CHI,2017,W3025952141,$Σ^*_{1/2^-}(1380)$ in the $Λ^+_c \to ηπ^+ Λ$ decay,A5061917250,Ju-Jun Xie,first,0
CHI,2017,W3025952141,$Σ^*_{1/2^-}(1380)$ in the $Λ^+_c \to ηπ^+ Λ$ decay,A5027457123,Li‐Sheng Geng,last,0
CHI,2018,W2795589025,Drawing lines on pages: remaking the Catholic parish maps of Ireland as a tidal public geography,A5060086981,Eoin O’Mahony,first,0
CHI,2018,W2795589025,Drawing lines on pages: remaking the Catholic parish maps of Ireland as a tidal public geography,A5041251687,Michael Murphy,last,0
CHI,2018,W2991336811,Exploring intervention strategies and supports to promote mental wellbeing among individuals (aged 18-21) with ASD non-ID: the experiences of professionals in Cork/Kerry,A5041211716,Lynn Brosnan,first,0
CHI,2018,W2897561538,Rice plant pattern as predictor of the milling and cooking quality in breeding programs,A5033277945,Ana Sofia Almeida,first,0
CHI,2018,W2897561538,Rice plant pattern as predictor of the milling and cooking quality in breeding programs,A5067803666,Jorge C. Oliveira,middle,0
CHI,2018,W2897561538,Rice plant pattern as predictor of the milling and cooking quality in breeding programs,A5061181990,Carla Brites,last,0
CIKM,2010,W138345005,A Multi-Perspective Evaluation Framework For Chord Recognition.,A5003324660,Verena Konz,first,10
CIKM,2010,W138345005,A Multi-Perspective Evaluation Framework For Chord Recognition.,A5109881851,Meinard Müller,middle,10
CIKM,2010,W138345005,A Multi-Perspective Evaluation Framework For Chord Recognition.,A5001413512,Sebastian Ewert,last,10
CIKM,2010,W1918877302,"[Book Review:] Juergensmeyer, Mark: Die Globalisierung religiöser Gewalt: Von christlichen Milizen bis al-Qaida (Hamburg: Hamburger Edition, 2009)",A5076574941,Dominic Akyel,first,4
CIKM,2010,W844427840,A neutral beam injection source for the TORIC/SSFPQL package,A5050753118,R. Bilato,first,0
CIKM,2010,W844427840,A neutral beam injection source for the TORIC/SSFPQL package,A5091879812,Marco Brambilla,middle,0
CIKM,2010,W844427840,A neutral beam injection source for the TORIC/SSFPQL package,A5075791698,Y. Feng,middle,0
CIKM,2010,W844427840,A neutral beam injection source for the TORIC/SSFPQL package,A5006258856,G. Tardini,last,0
CIKM,2015,W2808115690,Creative Tourism as a Driver of Urban Regeneration,A5038706629,Maria Della Lucia,first,0
CIKM,2015,W2808115690,Creative Tourism as a Driver of Urban Regeneration,A5066380349,Mariapina Trunfio,middle,0
CIKM,2015,W2808115690,Creative Tourism as a Driver of Urban Regeneration,A5108187635,Frank M. Go,last,0
CIKM,2015,W2615024193,Automated Prediction of Extraversion during Human-Robot Interaction.,A5026993674,Salvatore M. Anzalone,first,1
CIKM,2015,W2615024193,Automated Prediction of Extraversion during Human-Robot Interaction.,A5043020439,Giovanna Varni,middle,1
CIKM,2015,W2615024193,Automated Prediction of Extraversion during Human-Robot Interaction.,A5085519104,Elisabetta Zibetti,middle,1
CIKM,2015,W2615024193,Automated Prediction of Extraversion during Human-Robot Interaction.,A5022711233,Serena Ivaldi,middle,1
CIKM,2015,W2615024193,Automated Prediction of Extraversion during Human-Robot Interaction.,A5049398785,Mohamed Chétouani,last,1
CIKM,2015,W2271329635,I Greci e la memoria della vittoria: alcune considerazioni sui trofei delle Guerre Persiane,A5086166992,Giorgia Proietti,first,8
CVPR,2006,W2020944503,Boosting Sex Identification Performance,A5085643229,Shumeet Baluja,first,352
CVPR,2006,W2020944503,Boosting Sex Identification Performance,A5048198161,Henry A. Rowley,last,352
CVPR,2006,W1975432466,Multi-Parameter Simultaneous Estimation on Area-Based Matching,A5109325186,Masao Shimizu,first,21
