conference,year,source_id,source_name,source_type,n_award_papers,n_resolved,n_votes_for_winner,vote_agreement,status
CVPR,2000,,,,1,0,0,,UNRESOLVED
CVPR,2001,,,,1,0,0,,UNRESOLVED
CVPR,2003,https://openalex.org/S4306402161,CaltechAUTHORS (California Institute of Technology),repository,1,1,1,1.0,RESOLVED
CVPR,2004,,,,1,0,0,,UNRESOLVED
CVPR,2005,https://openalex.org/S189275214,Particle and Fibre Toxicology,journal,1,1,1,1.0,RESOLVED
CVPR,2006,https://openalex.org/S25538012,International Journal of Computer Vision,journal,1,1,1,1.0,RESOLVED
CVPR,2007,https://openalex.org/S4210187442,Reviews in Mineralogy and Geochemistry,journal,1,1,1,1.0,RESOLVED
CVPR,2008,https://openalex.org/S4406922265,Max Planck Institute for Plasma Physics,repository,2,1,1,1.0,RESOLVED
CVPR,2009,https://openalex.org/S4363607795,2009 IEEE Conference on Computer Vision and Pattern Recognition,conference,1,1,1,1.0,RESOLVED
CVPR,2010,https://openalex.org/S4306402607,QUT ePrints (Queensland University of Technology),repository,1,1,1,1.0,RESOLVED
CVPR,2011,https://openalex.org/S103482838,Communications of the ACM,journal,1,1,1,1.0,RESOLVED
CVPR,2012,https://openalex.org/S25538012,International Journal of Computer Vision,journal,1,1,1,1.0,RESOLVED
CVPR,2013,,,,1,0,0,,UNRESOLVED
CVPR,2014,,,,1,0,0,,UNRESOLVED
CVPR,2015,,,,1,0,0,,UNRESOLVED
CVPR,2016,https://openalex.org/S4306402641,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),repository,1,1,1,1.0,RESOLVED
CVPR,2017,https://openalex.org/S4306400194,arXiv (Cornell University),repository,2,1,1,1.0,RESOLVED
CVPR,2018,https://openalex.org/S4306400194,arXiv (Cornell University),repository,1,1,1,1.0,RESOLVED
FOCS,2002,https://openalex.org/S4306402519,ThinkTech (Texas Tech University),repository,3,1,1,1.0,RESOLVED
FOCS,2003,https://openalex.org/S118992489,Journal of the ACM,journal,1,1,1,1.0,RESOLVED
FOCS,2004,https://openalex.org/S153560523,SIAM Journal on Computing,journal,2,1,1,1.0,RESOLVED
FOCS,2005,,,,1,0,0,,UNRESOLVED
FOCS,2006,,,,1,0,0,,UNRESOLVED
FOCS,2007,,,,1,0,0,,UNRESOLVED
FOCS,2008,https://openalex.org/S118992489,Journal of the ACM,journal,1,1,1,1.0,RESOLVED
FOCS,2010,https://openalex.org/S118992489,Journal of the ACM,journal,3,2,1,0.5,RESOLVED
FOCS,2011,https://openalex.org/S4306400487,Infoscience (Ecole Polytechnique Fédérale de Lausanne),repository,3,2,1,0.5,RESOLVED
FOCS,2012,,,,2,0,0,,UNRESOLVED
FOCS,2013,https://openalex.org/S4306400488,Infoscience (Ecole Polytechnique Fédérale de Lausanne),repository,2,1,1,1.0,RESOLVED
FOCS,2014,,,,1,0,0,,UNRESOLVED
FOCS,2015,https://openalex.org/S118992489,Journal of the ACM,journal,1,1,1,1.0,RESOLVED
FOCS,2016,https://openalex.org/S4210233839,ACM SIGecom Exchanges,journal,2,2,1,0.5,RESOLVED
FOCS,2017,https://openalex.org/S4306400194,arXiv (Cornell University),repository,3,3,2,0.67,RESOLVED
FOCS,2018,https://openalex.org/S118992489,Journal of the ACM,journal,3,1,1,1.0,RESOLVED
FSE,2002,,,,1,0,0,,UNRESOLVED
FSE,2003,https://openalex.org/S4306400425,DSpace@MIT (Massachusetts Institute of Technology),repository,3,2,1,0.5,RESOLVED
FSE,2004,https://openalex.org/S4306400024,UCL Discovery (University College London),repository,2,1,1,1.0,RESOLVED
FSE,2005,,,,3,0,0,,UNRESOLVED
FSE,2006,https://openalex.org/S4306400577,Lincoln (University of Nebraska),repository,2,1,1,1.0,RESOLVED
FSE,2007,https://openalex.org/S4306401925,Singapore Management University Institutional Knowledge (InK) (Singapore Management University),repository,4,2,1,0.5,RESOLVED
FSE,2008,https://openalex.org/S4306400025,Middlesex University Research Repository (Middlesex University Of London),repository,2,1,1,1.0,RESOLVED
FSE,2009,https://openalex.org/S7407052290,National University of Singapore,repository,3,1,1,1.0,RESOLVED
FSE,2010,,,,3,0,0,,UNRESOLVED
FSE,2011,,,,3,0,0,,UNRESOLVED
FSE,2012,https://openalex.org/S7407050879,UC Berkeley,repository,3,1,1,1.0,RESOLVED
FSE,2014,https://openalex.org/S4306400194,arXiv (Cornell University),repository,6,1,1,1.0,RESOLVED
FSE,2015,https://openalex.org/S4306401925,Singapore Management University Institutional Knowledge (InK) (Singapore Management University),repository,8,3,1,0.33,RESOLVED
FSE,2016,https://openalex.org/S4306400425,DSpace@MIT (Massachusetts Institute of Technology),repository,7,3,1,0.33,RESOLVED
FSE,2017,https://openalex.org/S4306401396,Spiral (Imperial College London),repository,7,2,1,0.5,RESOLVED
FSE,2018,https://openalex.org/S4306400194,arXiv (Cornell University),repository,6,2,2,1.0,RESOLVED
ICCV,2001,https://openalex.org/S25538012,International Journal of Computer Vision,journal,2,1,1,1.0,RESOLVED
ICCV,2003,https://openalex.org/S25538012,International Journal of Computer Vision,journal,3,2,2,1.0,RESOLVED
ICCV,2005,https://openalex.org/S25538012,International Journal of Computer Vision,journal,1,1,1,1.0,RESOLVED
ICCV,2007,https://openalex.org/S25538012,International Journal of Computer Vision,journal,1,1,1,1.0,RESOLVED
ICCV,2009,,,,1,0,0,,UNRESOLVED
ICCV,2011,,,,1,0,0,,UNRESOLVED
ICCV,2013,,,,1,0,0,,UNRESOLVED
ICCV,2015,,,,1,0,0,,UNRESOLVED
ICCV,2017,https://openalex.org/S4306402512,HAL (Le Centre pour la Communication Scientifique Directe),repository,1,1,1,1.0,RESOLVED
ICML,2005,,,,1,0,0,,UNRESOLVED
ICML,2006,https://openalex.org/S4306400654,MPG.PuRe (Max Planck Society),repository,1,1,1,1.0,RESOLVED
ICML,2007,,,,1,0,0,,UNRESOLVED
ICML,2008,,,,1,0,0,,UNRESOLVED
ICML,2009,,,,1,0,0,,UNRESOLVED
ICML,2010,https://openalex.org/S4306400194,arXiv (Cornell University),repository,1,1,1,1.0,RESOLVED
ICML,2011,https://openalex.org/S4306400194,arXiv (Cornell University),repository,1,1,1,1.0,RESOLVED
ICML,2012,https://openalex.org/S4306400088,UvA-DARE (University of Amsterdam),repository,1,1,1,1.0,RESOLVED
ICML,2013,https://openalex.org/S4306400194,arXiv (Cornell University),repository,2,1,1,1.0,RESOLVED
ICML,2014,https://openalex.org/S4306419644,International Conference on Machine Learning,conference,1,1,1,1.0,RESOLVED
ICML,2015,https://openalex.org/S4306400194,arXiv (Cornell University),repository,2,2,1,0.5,RESOLVED
ICML,2016,https://openalex.org/S4306400194,arXiv (Cornell University),repository,3,3,3,1.0,RESOLVED
ICML,2017,https://openalex.org/S4306400194,arXiv (Cornell University),repository,1,1,1,1.0,RESOLVED
ICML,2018,https://openalex.org/S4306400194,arXiv (Cornell University),repository,2,2,2,1.0,RESOLVED
ICSE,2003,https://openalex.org/S4306419842,International Conference on Software Engineering,conference,2,2,1,0.5,RESOLVED
ICSE,2004,https://openalex.org/S4363608974,Proceedings. 26th International Conference on Software Engineering,conference,5,5,3,0.6,RESOLVED
ICSE,2005,https://openalex.org/S4306400425,DSpace@MIT (Massachusetts Institute of Technology),repository,4,3,1,0.33,RESOLVED
ICSE,2006,,,,2,0,0,,UNRESOLVED
ICSE,2007,https://openalex.org/S4210203175,Proceedings/Proceedings - International Conference on Software Engineering,journal,4,4,4,1.0,RESOLVED
ICSE,2008,https://openalex.org/S4306401568,eScholarship@McGill (McGill),repository,5,3,1,0.33,RESOLVED
ICSE,2009,https://openalex.org/S4306401281,Zurich Open Repository and Archive (University of Zurich),repository,5,2,1,0.5,RESOLVED
ICSE,2010,https://openalex.org/S4306400487,Infoscience (Ecole Polytechnique Fédérale de Lausanne),repository,5,1,1,1.0,RESOLVED
ICSE,2011,https://openalex.org/S4306400312,Virtual Community of Pathological Anatomy (University of Castilla La Mancha),repository,5,2,1,0.5,RESOLVED
ICSE,2012,https://openalex.org/S142627899,ACM Transactions on Software Engineering and Methodology,journal,7,1,1,1.0,RESOLVED
ICSE,2013,https://openalex.org/S4363607951,2013 35th International Conference on Software Engineering (ICSE),conference,6,6,6,1.0,RESOLVED
ICSE,2014,https://openalex.org/S4306400906,Research Repository (Delft University of Technology),repository,9,3,1,0.33,RESOLVED
ICSE,2015,https://openalex.org/S4363607868,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,conference,6,6,5,0.83,RESOLVED
ICSE,2016,https://openalex.org/S4306401815,Open Repository and Bibliography (University of Luxembourg),repository,9,5,1,0.2,RESOLVED
ICSE,2017,https://openalex.org/S7407055463,ResearchSpace (University of Auckland),repository,6,2,1,0.5,RESOLVED
ICSE,2018,https://openalex.org/S4306400194,arXiv (Cornell University),repository,8,5,1,0.2,RESOLVED
ICWSM,2007,https://openalex.org/S4306419920,International Conference on Weblogs and Social Media,conference,1,1,1,1.0,RESOLVED
ICWSM,2008,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,journal,1,1,1,1.0,RESOLVED
ICWSM,2009,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,journal,2,2,2,1.0,RESOLVED
ICWSM,2010,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,journal,2,2,2,1.0,RESOLVED
ICWSM,2011,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,journal,1,1,1,1.0,RESOLVED
ICWSM,2012,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,journal,2,2,2,1.0,RESOLVED
ICWSM,2013,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,journal,1,1,1,1.0,RESOLVED
ICWSM,2014,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,journal,1,1,1,1.0,RESOLVED
ICWSM,2015,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,journal,1,1,1,1.0,RESOLVED
ICWSM,2016,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,journal,1,1,1,1.0,RESOLVED
ICWSM,2017,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,journal,1,1,1,1.0,RESOLVED
ICWSM,2018,https://openalex.org/S4387284482,Proceedings of the International AAAI Conference on Web and Social Media,journal,1,1,1,1.0,RESOLVED
IJCAI,2001,https://openalex.org/S12967704,Statistical Science,journal,1,1,1,1.0,RESOLVED
IJCAI,2003,https://openalex.org/S7407050879,UC Berkeley,repository,2,2,1,0.5,RESOLVED
IJCAI,2005,https://openalex.org/S4306419999,International Joint Conference on Artificial Intelligence,conference,3,3,2,0.67,RESOLVED
IJCAI,2007,https://openalex.org/S4306419999,International Joint Conference on Artificial Intelligence,conference,3,2,2,1.0,RESOLVED
IJCAI,2009,https://openalex.org/S4306402512,HAL (Le Centre pour la Communication Scientifique Directe),repository,2,2,1,0.5,RESOLVED
IJCAI,2011,https://openalex.org/S139930977,Journal of Artificial Intelligence Research,journal,2,2,1,0.5,RESOLVED
IJCAI,2013,https://openalex.org/S4306400906,Research Repository (Delft University of Technology),repository,1,1,1,1.0,RESOLVED
IJCAI,2015,https://openalex.org/S4306419999,International Joint Conference on Artificial Intelligence,conference,2,2,1,0.5,RESOLVED
IJCAI,2016,https://openalex.org/S207023548,Neural Computation,journal,1,1,1,1.0,RESOLVED
IJCAI,2017,https://openalex.org/S4306400194,arXiv (Cornell University),repository,1,1,1,1.0,RESOLVED
IJCAI,2018,https://openalex.org/S4306400194,arXiv (Cornell University),repository,7,3,2,0.67,RESOLVED
INFOCOM,2000,,,,1,0,0,,UNRESOLVED
INFOCOM,2001,https://openalex.org/S66039016,ACM SIGCOMM Computer Communication Review,journal,1,1,1,1.0,RESOLVED
INFOCOM,2002,,,,1,0,0,,UNRESOLVED
INFOCOM,2003,https://openalex.org/S4306402512,HAL (Le Centre pour la Communication Scientifique Directe),repository,1,1,1,1.0,RESOLVED
INFOCOM,2004,,,,1,0,0,,UNRESOLVED
INFOCOM,2005,https://openalex.org/S4306400487,Infoscience (Ecole Polytechnique Fédérale de Lausanne),repository,1,1,1,1.0,RESOLVED
INFOCOM,2006,https://openalex.org/S62238642,IEEE/ACM Transactions on Networking,journal,1,1,1,1.0,RESOLVED
INFOCOM,2007,https://openalex.org/S4306401902,"Digital Access to Libraries (Université catholique de Louvain (UCL), l'Université de Namur (UNamur) and the Université Saint-Louis (USL-B))",repository,1,1,1,1.0,RESOLVED
INFOCOM,2008,https://openalex.org/S62238642,IEEE/ACM Transactions on Networking,journal,3,1,1,1.0,RESOLVED
INFOCOM,2009,,,,1,0,0,,UNRESOLVED
INFOCOM,2010,,,,1,0,0,,UNRESOLVED
INFOCOM,2011,https://openalex.org/S4306401157,Swinburne Research Bank (Swinburne University of Technology),repository,1,1,1,1.0,RESOLVED
INFOCOM,2012,,,,1,0,0,,UNRESOLVED
INFOCOM,2013,,,,1,0,0,,UNRESOLVED
INFOCOM,2014,https://openalex.org/S62238642,IEEE/ACM Transactions on Networking,journal,2,1,1,1.0,RESOLVED
INFOCOM,2015,,,,1,0,0,,UNRESOLVED
INFOCOM,2016,,,,1,0,0,,UNRESOLVED
INFOCOM,2017,,,,1,0,0,,UNRESOLVED
INFOCOM,2018,https://openalex.org/S4306400460,Istanbul Technical University Academic Open Archive (Istanbul Technical University),repository,3,2,1,0.5,RESOLVED
JCDL,2000,,,,1,0,0,,UNRESOLVED
JCDL,2002,,,,1,0,0,,UNRESOLVED
JCDL,2003,https://openalex.org/S4306417562,ACM/IEEE Joint Conference on Digital Libraries,conference,1,1,1,1.0,RESOLVED
JCDL,2004,,,,1,0,0,,UNRESOLVED
JCDL,2005,,,,1,0,0,,UNRESOLVED
JCDL,2006,,,,1,0,0,,UNRESOLVED
JCDL,2007,,,,1,0,0,,UNRESOLVED
JCDL,2008,,,,1,0,0,,UNRESOLVED
JCDL,2009,,,,1,0,0,,UNRESOLVED
JCDL,2010,,,,1,0,0,,UNRESOLVED
JCDL,2011,https://openalex.org/S4306402487,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),repository,1,1,1,1.0,RESOLVED
JCDL,2012,,,,1,0,0,,UNRESOLVED
JCDL,2013,https://openalex.org/S7407052290,National University of Singapore,repository,1,1,1,1.0,RESOLVED
JCDL,2014,,,,1,0,0,,UNRESOLVED
JCDL,2015,,,,1,0,0,,UNRESOLVED
JCDL,2016,,,,1,0,0,,UNRESOLVED
JCDL,2017,https://openalex.org/S4306400216,Research Portal (King's College London),repository,1,1,1,1.0,RESOLVED
JCDL,2018,https://openalex.org/S4306401843,Data Archiving and Networked Services (DANS),repository,2,2,1,0.5,RESOLVED
KDD,2000,,,,1,0,0,,UNRESOLVED
KDD,2001,,,,1,0,0,,UNRESOLVED
KDD,2002,,,,1,0,0,,UNRESOLVED
KDD,2003,,,,1,0,0,,UNRESOLVED
KDD,2004,,,,1,0,0,,UNRESOLVED
KDD,2005,https://openalex.org/S19474917,Internet Mathematics,journal,1,1,1,1.0,RESOLVED
KDD,2006,,,,1,0,0,,UNRESOLVED
KDD,2007,,,,1,0,0,,UNRESOLVED
KDD,2008,https://openalex.org/S4306525036,PubMed,repository,1,1,1,1.0,RESOLVED
KDD,2009,,,,1,0,0,,UNRESOLVED
KDD,2010,https://openalex.org/S139930977,Journal of Artificial Intelligence Research,journal,2,1,1,1.0,RESOLVED
KDD,2011,,,,1,0,0,,UNRESOLVED
KDD,2012,https://openalex.org/S4306525036,PubMed,repository,1,1,1,1.0,RESOLVED
KDD,2013,,,,1,0,0,,UNRESOLVED
KDD,2014,,,,1,0,0,,UNRESOLVED
KDD,2015,https://openalex.org/S4377196107,IRIS Research product catalog (Sapienza University of Rome),repository,1,1,1,1.0,RESOLVED
KDD,2016,,,,1,0,0,,UNRESOLVED
KDD,2017,,,,1,0,0,,UNRESOLVED
KDD,2018,https://openalex.org/S4306400194,arXiv (Cornell University),repository,1,1,1,1.0,RESOLVED
MOBICOM,2008,,,,1,0,0,,UNRESOLVED
MOBICOM,2009,,,,1,0,0,,UNRESOLVED
MOBICOM,2011,https://openalex.org/S4210197018,View,journal,2,1,1,1.0,RESOLVED
MOBICOM,2012,,,,1,0,0,,UNRESOLVED
MOBICOM,2013,,,,1,0,0,,UNRESOLVED
MOBICOM,2014,https://openalex.org/S4306401796,Rare & Special e-Zone (The Hong Kong University of Science and Technology),repository,1,1,1,1.0,RESOLVED
MOBICOM,2015,https://openalex.org/S4210227886,GetMobile Mobile Computing and Communications,journal,1,1,1,1.0,RESOLVED
MOBICOM,2017,,,,1,0,0,,UNRESOLVED
MOBICOM,2018,https://openalex.org/S4210227886,GetMobile Mobile Computing and Communications,journal,1,1,1,1.0,RESOLVED
NeurIPS,2013,https://openalex.org/S4306400194,arXiv (Cornell University),repository,3,3,2,0.67,RESOLVED
NeurIPS,2014,https://openalex.org/S4306400194,arXiv (Cornell University),repository,2,2,1,0.5,RESOLVED
NeurIPS,2015,https://openalex.org/S4306420609,Neural Information Processing Systems,conference,2,2,2,1.0,RESOLVED
NeurIPS,2016,https://openalex.org/S4306401020,ePrints Soton (University of Southampton),repository,1,1,1,1.0,RESOLVED
NeurIPS,2017,https://openalex.org/S4306400194,arXiv (Cornell University),repository,3,3,1,0.33,RESOLVED
NeurIPS,2018,https://openalex.org/S4306420609,Neural Information Processing Systems,conference,4,4,2,0.5,RESOLVED
OSDI,2000,,,,1,0,0,,UNRESOLVED
OSDI,2002,https://openalex.org/S50071195,ACM SIGOPS Operating Systems Review,journal,1,1,1,1.0,RESOLVED
OSDI,2004,https://openalex.org/S193109227,ACM Transactions on Computer Systems,journal,2,2,1,0.5,RESOLVED
OSDI,2006,https://openalex.org/S193109227,ACM Transactions on Computer Systems,journal,2,2,2,1.0,RESOLVED
OSDI,2008,https://openalex.org/S4306420647,Operating Systems Design and Implementation,conference,3,3,2,0.67,RESOLVED
OSDI,2010,https://openalex.org/S4306420647,Operating Systems Design and Implementation,conference,2,2,2,1.0,RESOLVED
OSDI,2012,,,,1,0,0,,UNRESOLVED
OSDI,2014,https://openalex.org/S193109227,ACM Transactions on Computer Systems,journal,3,3,2,0.67,RESOLVED
OSDI,2016,https://openalex.org/S4306420647,Operating Systems Design and Implementation,conference,1,1,1,1.0,RESOLVED
OSDI,2018,https://openalex.org/S4306420647,Operating Systems Design and Implementation,conference,3,3,3,1.0,RESOLVED
PLDI,2000,,,,1,0,0,,UNRESOLVED
PLDI,2003,https://openalex.org/S148324379,ACM SIGPLAN Notices,journal,1,1,1,1.0,RESOLVED
PLDI,2004,,,,1,0,0,,UNRESOLVED
PLDI,2005,,,,2,0,0,,UNRESOLVED
PLDI,2007,,,,2,0,0,,UNRESOLVED
PLDI,2009,,,,1,0,0,,UNRESOLVED
PLDI,2010,,,,1,0,0,,UNRESOLVED
PLDI,2011,https://openalex.org/S148324379,ACM SIGPLAN Notices,journal,1,1,1,1.0,RESOLVED
PLDI,2012,,,,1,0,0,,UNRESOLVED
PLDI,2013,https://openalex.org/S4306401796,Rare & Special e-Zone (The Hong Kong University of Science and Technology),repository,4,2,1,0.5,RESOLVED
PLDI,2014,https://openalex.org/S4377196264,Kent Academic Repository (University of Kent),repository,3,1,1,1.0,RESOLVED
PLDI,2015,https://openalex.org/S4306400757,eCommons (Cornell University),repository,3,1,1,1.0,RESOLVED
PLDI,2016,https://openalex.org/S4306401777,Apollo (University of Cambridge),repository,4,2,1,0.5,RESOLVED
PLDI,2017,https://openalex.org/S4306400662,Research Explorer (The University of Manchester),repository,4,2,1,0.5,RESOLVED
PLDI,2018,https://openalex.org/S4306400194,arXiv (Cornell University),repository,3,1,1,1.0,RESOLVED
PODS,2000,,,,1,0,0,,UNRESOLVED
PODS,2001,,,,1,0,0,,UNRESOLVED
PODS,2002,https://openalex.org/S4306400487,Infoscience (Ecole Polytechnique Fédérale de Lausanne),repository,1,1,1,1.0,RESOLVED
PODS,2003,,,,1,0,0,,UNRESOLVED
PODS,2004,https://openalex.org/S4306400088,UvA-DARE (University of Amsterdam),repository,1,1,1,1.0,RESOLVED
PODS,2005,https://openalex.org/S4306401926,Document Server@UHasselt (UHasselt),repository,2,1,1,1.0,RESOLVED
PODS,2006,https://openalex.org/S118992489,Journal of the ACM,journal,1,1,1,1.0,RESOLVED
PODS,2007,https://openalex.org/S4306419648,International Conference on Management of Data,conference,1,1,1,1.0,RESOLVED
PODS,2008,,,,1,0,0,,UNRESOLVED
PODS,2009,https://openalex.org/S4306402636,Oxford University Research Archive (ORA) (University of Oxford),repository,1,1,1,1.0,RESOLVED
PODS,2010,https://openalex.org/S4306401540,Digital Access to Scholarship at Harvard (DASH) (Harvard University),repository,1,1,1,1.0,RESOLVED
PODS,2011,,,,1,0,0,,UNRESOLVED
PODS,2012,https://openalex.org/S103870658,PLoS Genetics,journal,1,1,1,1.0,RESOLVED
PODS,2013,https://openalex.org/S4306402512,HAL (Le Centre pour la Communication Scientifique Directe),repository,1,1,1,1.0,RESOLVED
PODS,2014,https://openalex.org/S90119964,ACM Transactions on Database Systems,journal,1,1,1,1.0,RESOLVED
PODS,2015,https://openalex.org/S4306401926,Document Server@UHasselt (UHasselt),repository,1,1,1,1.0,RESOLVED
PODS,2016,,,,1,0,0,,UNRESOLVED
PODS,2017,https://openalex.org/S4306400194,arXiv (Cornell University),repository,1,1,1,1.0,RESOLVED
