openalex_paper_id,paper_title,conference,award_type,award_year,author_id,author_name,author_position,first_pub_year,total_works,total_cites,career_age,career_age_missing,is_junior
https://openalex.org/W2122743328,TagAssist: Automatic Tag Suggestion for Blog Posts,ICWSM,Best Paper,2007,https://openalex.org/A5060435130,Sanjay Sood,first,1995.0,70.0,2880.0,12.0,False,False
https://openalex.org/W2122743328,TagAssist: Automatic Tag Suggestion for Blog Posts,ICWSM,Best Paper,2007,https://openalex.org/A5046276215,Sara Owsley,middle,2004.0,14.0,250.0,3.0,False,True
https://openalex.org/W2122743328,TagAssist: Automatic Tag Suggestion for Blog Posts,ICWSM,Best Paper,2007,https://openalex.org/A5114000097,Kristian J. Hammond,middle,1963.0,202.0,5149.0,44.0,False,False
https://openalex.org/W2122743328,TagAssist: Automatic Tag Suggestion for Blog Posts,ICWSM,Best Paper,2007,https://openalex.org/A5109397252,Larry Birnbaum,last,1991.0,85.0,832.0,16.0,False,False
https://openalex.org/W109801324,Wikipedian Self-Governance in Action: Motivating the Policy Lens,ICWSM,Best Paper,2008,https://openalex.org/A5064061802,Ivan Beschastnikh,first,2006.0,136.0,3574.0,2.0,False,True
https://openalex.org/W109801324,Wikipedian Self-Governance in Action: Motivating the Policy Lens,ICWSM,Best Paper,2008,https://openalex.org/A5067333724,Travis Kriplean,middle,2007.0,22.0,1110.0,1.0,False,True
https://openalex.org/W109801324,Wikipedian Self-Governance in Action: Motivating the Policy Lens,ICWSM,Best Paper,2008,https://openalex.org/A5011914372,David W. McDonald,last,1952.0,256.0,10487.0,56.0,False,False
https://openalex.org/W2124532437,Gesundheit! Modeling Contagion Through Facebook News Feed,ICWSM,Best Paper,2009,https://openalex.org/A5090360853,Eric Sun,first,2009.0,71.0,2084.0,0.0,False,True
https://openalex.org/W2124532437,Gesundheit! Modeling Contagion Through Facebook News Feed,ICWSM,Best Paper,2009,https://openalex.org/A5017533451,Itamar Rosenn,middle,2009.0,8.0,2392.0,0.0,False,True
https://openalex.org/W2124532437,Gesundheit! Modeling Contagion Through Facebook News Feed,ICWSM,Best Paper,2009,https://openalex.org/A5110383731,Cameron Marlow,middle,1998.0,43.0,11104.0,11.0,False,False
https://openalex.org/W2124532437,Gesundheit! Modeling Contagion Through Facebook News Feed,ICWSM,Best Paper,2009,https://openalex.org/A5003262797,Thomas Lento,last,1999.0,16.0,1983.0,10.0,False,False
https://openalex.org/W168087971,"Motivational, Structural and Tenure Factors that Impact Online Community Photo Sharing",ICWSM,Best Paper,2009,https://openalex.org/A5007172071,Oded Nov,first,2004.0,240.0,8737.0,5.0,False,False
https://openalex.org/W168087971,"Motivational, Structural and Tenure Factors that Impact Online Community Photo Sharing",ICWSM,Best Paper,2009,https://openalex.org/A5054248372,Mor Naaman,middle,1999.0,218.0,13177.0,10.0,False,False
https://openalex.org/W168087971,"Motivational, Structural and Tenure Factors that Impact Online Community Photo Sharing",ICWSM,Best Paper,2009,https://openalex.org/A5112379210,Chen Ye,last,1983.0,575.0,68456.0,26.0,False,False
https://openalex.org/W1498404717,ePluribus : Ethnicity on Social Networks,ICWSM,Best Paper,2010,https://openalex.org/A5110249072,Jonathan Chang,first,2003.0,59.0,5056.0,7.0,False,False
https://openalex.org/W1498404717,ePluribus : Ethnicity on Social Networks,ICWSM,Best Paper,2010,https://openalex.org/A5017533451,Itamar Rosenn,middle,2009.0,8.0,2392.0,1.0,False,True
https://openalex.org/W1498404717,ePluribus : Ethnicity on Social Networks,ICWSM,Best Paper,2010,https://openalex.org/A5081744093,Lars Bäckström,middle,1962.0,54.0,12758.0,48.0,False,False
